lon,lat,score,vessel_length_m,vessel_width_m,vessel_speed_k,heading_deg,is_fishing_vessel,vessel_type,scene_id
-77.15409,-11.92209,0.816,32.1,9.1,1.5,1.7,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15308,-12.00371,0.821,49.1,9.9,1.6,119.6,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.03131,-12.15727,0.827,43.3,8.0,1.5,63.5,0,sar,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.159,-12.05454,0.836,31.2,8.6,2.3,214.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.21988,-11.79614,0.839,234.7,31.3,3.5,180.8,0,passenger,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18528,-12.03473,0.84,108.3,18.0,6.0,137.3,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.03095,-12.1467,0.847,24.9,6.5,3.8,167.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.21172,-12.52912,0.851,23.1,6.5,6.3,150.3,0,pleasure,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15161,-12.00345,0.851,45.6,10.0,1.0,21.5,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15392,-11.92462,0.854,33.3,8.9,3.1,5.5,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.16963,-12.04154,0.856,50.5,9.6,1.5,2.5,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.23525,-11.77976,0.86,21.9,5.9,4.4,146.8,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15426,-12.00243,0.866,44.3,10.0,1.3,120.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17977,-11.9312,0.871,31.2,8.2,2.0,74.9,0,pleasure,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15243,-12.00236,0.886,53.7,9.9,1.3,1.3,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-76.78545,-12.42725,0.897,30.4,8.3,5.4,-11.0,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18298,-12.03402,0.908,74.1,15.6,2.5,106.6,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15806,-11.91438,0.912,31.2,8.4,2.6,228.2,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15585,-11.92488,0.923,36.7,9.6,2.0,164.9,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.16278,-11.91868,0.934,61.8,11.8,2.3,152.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.1704,-12.03412,0.942,51.3,10.3,0.8,167.4,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18271,-11.93272,0.957,37.7,10.0,0.9,66.8,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.20775,-11.78259,0.959,40.3,10.0,4.4,25.1,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17083,-12.03086,0.96,59.0,11.9,1.6,148.0,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15401,-12.0046,0.961,46.4,10.1,1.3,150.0,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-76.9102,-12.29417,0.961,127.1,19.7,1.8,-35.7,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17843,-12.03939,0.966,48.6,11.2,2.6,137.1,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18436,-11.93207,0.967,42.8,11.3,0.8,159.0,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17368,-12.04214,0.967,52.9,9.8,1.4,118.6,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18314,-12.03104,0.97,61.2,10.9,1.9,-37.4,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15334,-12.0019,0.97,50.7,9.7,2.0,145.1,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15068,-12.0021,0.973,49.5,10.1,1.0,242.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17236,-12.03817,0.977,60.5,10.2,2.4,137.1,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.1737,-12.03391,0.978,44.6,10.3,0.9,180.4,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.16188,-12.05904,0.98,36.3,9.9,0.9,-42.7,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18353,-12.02254,0.982,33.6,8.6,1.6,10.4,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18125,-11.93264,0.983,47.1,12.0,1.0,233.8,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.1706,-12.02481,0.986,93.7,15.3,4.1,-0.4,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17256,-12.04052,0.986,71.0,10.8,1.1,-5.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15429,-12.00596,0.986,46.8,9.8,1.2,158.6,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15052,-12.00499,0.986,60.5,10.9,1.5,26.9,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18165,-11.92649,0.987,32.0,8.2,1.8,228.1,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17954,-12.01787,0.987,39.1,9.2,1.3,9.6,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.1803,-12.02112,0.988,45.1,9.4,1.3,-9.1,1,fishing,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17128,-12.0183,0.989,98.6,16.1,0.8,16.1,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.20486,-12.01569,0.989,101.2,20.5,0.9,163.1,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18024,-12.03585,0.992,71.0,11.5,1.1,202.0,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17684,-12.02377,0.994,58.6,11.6,1.2,-23.2,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17337,-12.01521,0.995,106.8,16.5,1.0,170.8,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17323,-12.02036,0.995,39.0,10.1,8.1,-7.4,0,service,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.16984,-11.9639,0.995,188.8,31.3,0.7,207.3,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.19375,-12.0146,0.997,53.6,11.0,9.9,-53.0,0,passenger,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.20456,-12.02301,0.997,107.4,18.1,0.6,174.8,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.20911,-12.01845,0.997,161.0,31.4,0.8,167.5,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.1963,-12.01223,0.998,141.5,22.9,3.3,178.2,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.1582,-11.96634,0.998,104.9,18.5,0.7,189.6,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.19233,-11.99807,0.998,139.6,20.4,0.6,182.0,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.22348,-11.79946,0.998,286.1,51.0,4.0,171.5,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.22876,-12.00818,0.998,182.4,29.5,0.5,187.0,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18968,-11.98887,0.998,189.8,30.7,0.4,191.0,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.21127,-11.99051,0.998,198.6,31.8,0.7,199.7,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.18561,-11.99559,0.999,191.5,31.4,1.2,189.1,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.21925,-12.00093,0.999,207.0,31.8,0.4,189.4,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.19751,-11.99188,0.999,182.8,29.7,0.9,194.3,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.22706,-11.99102,0.999,210.0,33.0,1.6,178.7,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.23003,-11.98413,0.999,184.1,30.3,0.4,176.1,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.15567,-11.9369,0.999,181.9,27.8,0.4,204.2,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.20109,-12.02602,0.999,183.4,29.4,0.6,178.6,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.2288,-12.00167,0.999,205.4,31.6,0.7,191.3,0,cargo,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
-77.17699,-11.98536,0.999,232.2,34.1,0.3,184.4,0,tanker,S2C_MSIL1C_20260613T151721_N0512_R125_T18LTM_20260613T184148
